Algoritmo,Itera̤̣o,Rate,acc,f1,RN len,tempo de execṳ̣o
<Algoritmos.MCLS.MCLS object at 0x0000014489EEB890>,0,0.01,0.875,0.9333333333333333,200,3.0736947059631348
<Algoritmos.MCLS.MCLS object at 0x0000014445408090>,1,0.01,0.905,0.9501312335958005,200,2.9456658363342285
<Algoritmos.MCLS.MCLS object at 0x0000014445399A90>,2,0.01,0.9,0.9473684210526316,200,2.8216378688812256
<Algoritmos.MCLS.MCLS object at 0x0000014445170390>,3,0.01,0.875,0.9333333333333333,200,3.525797128677368
<Algoritmos.MCLS.MCLS object at 0x000001444C772910>,4,0.01,0.88,0.9361702127659575,200,3.290743589401245
<Algoritmos.MCLS.MCLS object at 0x0000014489F50910>,5,0.01,0.825,0.9041095890410958,200,2.939664125442505
<Algoritmos.MCLS.MCLS object at 0x00000144451AB3D0>,6,0.01,0.9,0.9473684210526316,200,2.8066346645355225
<Algoritmos.MCLS.MCLS object at 0x0000014489F52490>,7,0.01,0.915,0.9556135770234987,200,2.2985193729400635
<Algoritmos.MCLS.MCLS object at 0x0000014421BC3050>,8,0.01,0.875,0.9333333333333333,200,3.00968074798584
<Algoritmos.MCLS.MCLS object at 0x000001444530AF50>,9,0.01,0.9,0.9473684210526316,200,2.394541025161743
<Algoritmos.MCLS.MCLS object at 0x000001448A0929D0>,0,0.02,0.9,0.9473684210526316,200,3.026684284210205
<Algoritmos.MCLS.MCLS object at 0x00000144453405D0>,1,0.02,0.87,0.9304812834224598,200,2.8606464862823486
<Algoritmos.MCLS.MCLS object at 0x0000014421BEBC90>,2,0.02,0.925,0.961038961038961,200,2.94866681098938
<Algoritmos.MCLS.MCLS object at 0x0000014445370C50>,3,0.02,0.88,0.9361702127659575,200,2.5345728397369385
<Algoritmos.MCLS.MCLS object at 0x000001444C858690>,4,0.02,0.88,0.9361702127659575,200,3.80285906791687
<Algoritmos.MCLS.MCLS object at 0x000001444534FD50>,5,0.02,0.895,0.9445910290237467,200,3.3457562923431396
<Algoritmos.MCLS.MCLS object at 0x0000014421BFE510>,6,0.02,0.97,0.9847715736040609,200,3.498790740966797
<Algoritmos.MCLS.MCLS object at 0x000001444534D210>,7,0.02,0.83,0.9071038251366119,200,2.86264705657959
<Algoritmos.MCLS.MCLS object at 0x000001444534E510>,8,0.02,0.89,0.9417989417989417,200,3.4417777061462402
<Algoritmos.MCLS.MCLS object at 0x000001444534C190>,9,0.02,0.88,0.9361702127659575,200,3.3217506408691406
<Algoritmos.MCLS.MCLS object at 0x0000014421BBD250>,0,0.03,0.895,0.9445910290237467,200,3.521796226501465
<Algoritmos.MCLS.MCLS object at 0x0000014421BBCF50>,1,0.03,0.91,0.9528795811518325,200,2.626593589782715
<Algoritmos.MCLS.MCLS object at 0x0000014421BBE050>,2,0.03,0.925,0.961038961038961,200,2.677605390548706
<Algoritmos.MCLS.MCLS object at 0x0000014421BBE790>,3,0.03,0.895,0.9445910290237467,200,3.4667840003967285
<Algoritmos.MCLS.MCLS object at 0x0000014421BBFE50>,4,0.03,0.91,0.9528795811518325,200,2.479560375213623
<Algoritmos.MCLS.MCLS object at 0x0000014421BBF510>,5,0.03,0.935,0.9664082687338501,200,3.227729558944702
<Algoritmos.MCLS.MCLS object at 0x0000014421BBD790>,6,0.03,0.915,0.9556135770234987,200,2.851644515991211
<Algoritmos.MCLS.MCLS object at 0x000001444534ED90>,7,0.03,0.855,0.921832884097035,200,3.387765407562256
<Algoritmos.MCLS.MCLS object at 0x0000014421BBE510>,8,0.03,0.975,0.9873417721518987,200,3.14070987701416
<Algoritmos.MCLS.MCLS object at 0x0000014489ECFD50>,9,0.03,0.89,0.9417989417989417,200,3.2827417850494385
<Algoritmos.MCLS.MCLS object at 0x0000014489ECF110>,0,0.04,0.915,0.9556135770234987,200,2.8956546783447266
<Algoritmos.MCLS.MCLS object at 0x0000014489ECDED0>,1,0.04,0.875,0.9333333333333333,200,2.516568899154663
<Algoritmos.MCLS.MCLS object at 0x0000014489ECEE10>,2,0.04,0.84,0.9130434782608696,200,3.723841905593872
<Algoritmos.MCLS.MCLS object at 0x00000144AA7CB2D0>,3,0.04,0.87,0.9304812834224598,200,3.3677608966827393
<Algoritmos.MCLS.MCLS object at 0x00000144AA7C9B10>,4,0.04,0.885,0.9389920424403183,200,3.353757858276367
<Algoritmos.MCLS.MCLS object at 0x00000144AA7CB010>,5,0.04,0.93,0.9637305699481865,200,3.3057470321655273
<Algoritmos.MCLS.MCLS object at 0x00000144AA7CA890>,6,0.04,0.87,0.9304812834224598,200,3.2067246437072754
<Algoritmos.MCLS.MCLS object at 0x00000144AA7CA690>,7,0.04,0.91,0.9528795811518325,200,3.012680768966675
<Algoritmos.MCLS.MCLS object at 0x0000014426E31890>,8,0.04,0.89,0.9417989417989417,200,2.727616548538208
<Algoritmos.MCLS.MCLS object at 0x00000144453839D0>,9,0.04,0.885,0.9389920424403183,200,3.4447784423828125
<Algoritmos.MCLS.MCLS object at 0x0000014445259350>,0,0.05,0.895,0.9445910290237467,200,3.186720609664917
<Algoritmos.MCLS.MCLS object at 0x0000014421BBD810>,1,0.05,0.88,0.9361702127659575,200,2.940664291381836
<Algoritmos.MCLS.MCLS object at 0x0000014445233910>,2,0.05,0.89,0.9417989417989417,200,3.6048147678375244
<Algoritmos.MCLS.MCLS object at 0x00000144AA7CB710>,3,0.05,0.855,0.921832884097035,200,2.6435976028442383
<Algoritmos.MCLS.MCLS object at 0x00000144AA7CA590>,4,0.05,0.93,0.9637305699481865,200,3.138709306716919
<Algoritmos.MCLS.MCLS object at 0x00000144AA7C9590>,5,0.05,0.91,0.9528795811518325,200,3.0206828117370605
<Algoritmos.MCLS.MCLS object at 0x00000144AA7C9E10>,6,0.05,0.88,0.9361702127659575,200,3.7948577404022217
<Algoritmos.MCLS.MCLS object at 0x0000014447E12090>,7,0.05,0.895,0.9445910290237467,200,2.927661895751953
<Algoritmos.MCLS.MCLS object at 0x0000014421BC3A50>,8,0.05,0.87,0.9304812834224598,200,2.676605224609375
<Algoritmos.MCLS.MCLS object at 0x00000144AA7CA8D0>,9,0.05,0.91,0.9528795811518325,200,2.7896316051483154
<Algoritmos.MCLS.MCLS object at 0x000001444530B890>,0,0.1,0.92,0.9583333333333334,200,3.191721200942993
<Algoritmos.MCLS.MCLS object at 0x0000014445341250>,1,0.1,0.93,0.9637305699481865,200,3.698836088180542
<Algoritmos.MCLS.MCLS object at 0x0000014421BF3C50>,2,0.1,0.87,0.9304812834224598,200,3.8238637447357178
<Algoritmos.MCLS.MCLS object at 0x0000014421BB9690>,3,0.1,0.905,0.9501312335958005,200,2.986675262451172
<Algoritmos.MCLS.MCLS object at 0x00000144AA7C9AD0>,4,0.1,0.895,0.9445910290237467,200,3.58681058883667
<Algoritmos.MCLS.MCLS object at 0x0000014445231D90>,5,0.1,0.915,0.9556135770234987,200,3.2307302951812744
<Algoritmos.MCLS.MCLS object at 0x00000144451AA490>,6,0.1,0.88,0.9361702127659575,200,3.114704132080078
<Algoritmos.MCLS.MCLS object at 0x0000014445373410>,7,0.1,0.88,0.9361702127659575,200,3.001678228378296
<Algoritmos.MCLS.MCLS object at 0x0000014447E129D0>,8,0.1,0.905,0.9501312335958005,200,2.987675189971924
<Algoritmos.MCLS.MCLS object at 0x0000014445231610>,9,0.1,0.92,0.9583333333333334,200,3.2227282524108887
<Algoritmos.MCLS.MCLS object at 0x00000144AA7C9A50>,0,0.15,0.865,0.9276139410187667,200,3.1307077407836914
<Algoritmos.MCLS.MCLS object at 0x0000014489EE9050>,1,0.15,0.87,0.9304812834224598,200,3.1067020893096924
<Algoritmos.MCLS.MCLS object at 0x0000014445233510>,2,0.15,0.85,0.9189189189189189,200,2.7906312942504883
<Algoritmos.MCLS.MCLS object at 0x00000144453C7050>,3,0.15,0.885,0.9389920424403183,200,3.4437782764434814
<Algoritmos.MCLS.MCLS object at 0x0000014421BBE890>,4,0.15,0.895,0.9445910290237467,200,3.202723741531372
<Algoritmos.MCLS.MCLS object at 0x00000144AA7CB1D0>,5,0.15,0.895,0.9445910290237467,200,2.937664031982422
<Algoritmos.MCLS.MCLS object at 0x000001444534F5D0>,6,0.15,0.905,0.9501312335958005,200,2.8336403369903564
<Algoritmos.MCLS.MCLS object at 0x0000014489ECE450>,7,0.15,0.905,0.9501312335958005,200,3.3197503089904785
<Algoritmos.MCLS.MCLS object at 0x0000014445231F50>,8,0.15,0.93,0.9637305699481865,200,3.57580828666687
<Algoritmos.MCLS.MCLS object at 0x00000144451E1D50>,9,0.15,0.895,0.9445910290237467,200,3.0696940422058105
<Algoritmos.MCLS.MCLS object at 0x00000144451E2ED0>,0,0.2,0.885,0.9389920424403183,200,3.1057019233703613
<Algoritmos.MCLS.MCLS object at 0x00000144451E3450>,1,0.2,0.865,0.9276139410187667,200,3.1707170009613037
<Algoritmos.MCLS.MCLS object at 0x00000144451E2450>,2,0.2,0.85,0.9189189189189189,200,2.479560375213623
<Algoritmos.MCLS.MCLS object at 0x0000014421B9CBD0>,3,0.2,0.905,0.9501312335958005,200,2.976672887802124
<Algoritmos.MCLS.MCLS object at 0x0000014421B9E1D0>,4,0.2,0.89,0.9417989417989417,200,2.7786285877227783
<Algoritmos.MCLS.MCLS object at 0x0000014421B9E4D0>,5,0.2,0.875,0.9333333333333333,200,3.1327080726623535
<Algoritmos.MCLS.MCLS object at 0x0000014421B9D790>,6,0.2,0.885,0.9389920424403183,200,3.0556905269622803
<Algoritmos.MCLS.MCLS object at 0x0000014421B9DED0>,7,0.2,0.845,0.9159891598915989,200,2.767625570297241
<Algoritmos.MCLS.MCLS object at 0x0000014421B9C910>,8,0.2,0.865,0.9276139410187667,200,2.815635919570923
<Algoritmos.MCLS.MCLS object at 0x0000014421B9FD90>,9,0.2,0.865,0.9276139410187667,200,3.45378041267395
<Algoritmos.MCLS.MCLS object at 0x0000014421B9FE50>,0,0.25,0.875,0.9333333333333333,200,2.9056570529937744
<Algoritmos.MCLS.MCLS object at 0x00000144451E3590>,1,0.25,0.925,0.961038961038961,200,2.87565016746521
<Algoritmos.MCLS.MCLS object at 0x000001444534D910>,2,0.25,0.895,0.9445910290237467,200,2.9816739559173584
<Algoritmos.MCLS.MCLS object at 0x0000014445256150>,3,0.25,0.885,0.9389920424403183,200,3.043687343597412
<Algoritmos.MCLS.MCLS object at 0x0000014489ECF350>,4,0.25,0.88,0.9361702127659575,200,2.5615787506103516
<Algoritmos.MCLS.MCLS object at 0x000001444534EB10>,5,0.25,0.895,0.9445910290237467,200,2.642596960067749
<Algoritmos.MCLS.MCLS object at 0x000001448A0955D0>,6,0.25,0.895,0.9445910290237467,200,3.5668063163757324
<Algoritmos.MCLS.MCLS object at 0x000001444551FE90>,7,0.25,0.855,0.921832884097035,200,3.1177048683166504
<Algoritmos.MCLS.MCLS object at 0x0000014421B9F190>,8,0.25,0.935,0.9664082687338501,200,2.7946314811706543
<Algoritmos.MCLS.MCLS object at 0x0000014421B8FED0>,9,0.25,0.925,0.961038961038961,200,2.8076353073120117
