Algoritmo,Itera̤̣o,Rate,acc,f1,RN len,tempo de execṳ̣o
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014447E0F4D0>,0,0.01,0.94,0.9690721649484536,200,3.1827194690704346
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444525B210>,1,0.01,0.925,0.961038961038961,200,1.0462367534637451
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014421BB9B50>,2,0.01,0.92,0.9583333333333334,200,1.0432360172271729
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445370A50>,3,0.01,0.925,0.961038961038961,200,0.9332108497619629
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144452683D0>,4,0.01,0.925,0.961038961038961,200,0.9742200374603271
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444C7959D0>,5,0.01,0.93,0.9637305699481865,200,1.0182304382324219
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444C825E50>,6,0.01,0.895,0.9445910290237467,200,0.9992258548736572
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444C925850>,7,0.01,0.895,0.9445910290237467,200,0.9772210121154785
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014426E0CF10>,8,0.01,0.92,0.9583333333333334,200,1.0652406215667725
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014447E107D0>,9,0.01,0.935,0.9664082687338501,200,0.9532160758972168
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445340E10>,0,0.02,0.925,0.961038961038961,200,2.1834933757781982
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144204ADE90>,1,0.02,0.93,0.9637305699481865,200,2.1114771366119385
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144A42D81D0>,2,0.02,0.91,0.9528795811518325,200,2.2645115852355957
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445364D50>,3,0.02,0.925,0.961038961038961,200,2.0134551525115967
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144451A5C90>,4,0.02,0.93,0.9637305699481865,200,2.1944961547851562
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144A5EB41D0>,5,0.02,0.93,0.9637305699481865,200,2.06546688079834
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144451A4A90>,6,0.02,0.915,0.9556135770234987,200,2.0734684467315674
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014489EFA690>,7,0.02,0.905,0.9501312335958005,200,2.2595109939575195
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444C797110>,8,0.02,0.925,0.961038961038961,200,1.8534185886383057
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445364E50>,9,0.02,0.895,0.9445910290237467,200,2.1104769706726074
