,k,weight,acc,f1
156,16,6.0,0.87,0.9305
157,16,6.5,0.88,0.9362
158,16,7.0,0.86,0.9247
159,16,7.5,0.89,0.9418
160,16,8.0,0.88,0.9362
161,16,8.5,0.89,0.9418
162,16,9.0,0.88,0.9362
163,16,9.5,0.9,0.9474
164,16,10.0,0.88,0.9362
165,16,10.5,0.89,0.9418
166,16,11.0,0.88,0.9362
167,16,11.5,0.88,0.9362
168,16,12.0,0.87,0.9305
169,16,12.5,0.86,0.9247
170,16,13.0,0.87,0.9305
171,16,13.5,0.86,0.9247
172,16,14.0,0.88,0.9362
173,16,14.5,0.88,0.9362
174,19,0.5,0.87,0.9305
175,19,1.0,0.91,0.9529
176,19,1.5,0.87,0.9305
177,19,2.0,0.88,0.9362
178,19,2.5,0.88,0.9362
179,19,3.0,0.87,0.9305
180,19,3.5,0.88,0.9362
181,19,4.0,0.88,0.9362
182,19,4.5,0.89,0.9418
183,19,5.0,0.87,0.9305
184,19,5.5,0.9,0.9474
185,19,6.0,0.87,0.9305
186,19,6.5,0.89,0.9418
187,19,7.0,0.89,0.9418
188,19,7.5,0.88,0.9362
189,19,8.0,0.86,0.9247
190,19,8.5,0.9,0.9474
191,19,9.0,0.87,0.9305
192,19,9.5,0.88,0.9362
193,19,10.0,0.87,0.9305
194,19,10.5,0.9,0.9474
195,19,11.0,0.88,0.9362
196,19,11.5,0.88,0.9362
197,19,12.0,0.87,0.9305
198,19,12.5,0.88,0.9362
199,19,13.0,0.86,0.9247
200,19,13.5,0.88,0.9362
201,19,14.0,0.87,0.9305
202,19,14.5,0.86,0.9247
203,1,0.5,0.89,0.9418
204,1,1.0,0.89,0.9418
205,1,1.5,0.89,0.9418
206,1,2.0,0.9,0.9474
207,1,2.5,0.89,0.9418
208,1,3.0,0.89,0.9418
209,1,3.5,0.89,0.9418
210,1,4.0,0.87,0.9305
211,1,4.5,0.9,0.9474
212,1,5.0,0.89,0.9418
213,1,5.5,0.89,0.9418
214,1,6.0,0.9,0.9474
215,1,6.5,0.89,0.9418
216,1,7.0,0.9,0.9474
217,1,7.5,0.89,0.9418
218,1,8.0,0.9,0.9474
219,1,8.5,0.88,0.9362
220,1,9.0,0.88,0.9362
221,1,9.5,0.89,0.9418
222,1,10.0,0.9,0.9474
223,1,10.5,0.89,0.9418
224,1,11.0,0.89,0.9418
225,1,11.5,0.9,0.9474
226,1,12.0,0.89,0.9418
227,1,12.5,0.89,0.9418
228,1,13.0,0.89,0.9418
229,1,13.5,0.89,0.9418
230,1,14.0,0.89,0.9418
231,1,14.5,0.9,0.9474
232,4,0.5,0.88,0.9362
233,4,1.0,0.88,0.9362
234,4,1.5,0.88,0.9362
235,4,2.0,0.88,0.9362
236,4,2.5,0.88,0.9362
237,4,3.0,0.88,0.9362
238,4,3.5,0.88,0.9362
239,4,4.0,0.89,0.9418
240,4,4.5,0.88,0.9362
241,4,5.0,0.9,0.9474
242,4,5.5,0.9,0.9474
243,4,6.0,0.9,0.9474
244,4,6.5,0.88,0.9362
245,4,7.0,0.88,0.9362
246,4,7.5,0.88,0.9362
247,4,8.0,0.89,0.9418
248,4,8.5,0.89,0.9418
249,4,9.0,0.88,0.9362
250,4,9.5,0.89,0.9418
251,4,10.0,0.9,0.9474
252,4,10.5,0.88,0.9362
253,4,11.0,0.87,0.9305
254,4,11.5,0.9,0.9474
255,4,12.0,0.88,0.9362
256,4,12.5,0.89,0.9418
257,4,13.0,0.88,0.9362
258,4,13.5,0.88,0.9362
259,4,14.0,0.88,0.9362
260,4,14.5,0.88,0.9362
261,7,0.5,0.88,0.9362
262,7,1.0,0.88,0.9362
263,7,1.5,0.89,0.9418
264,7,2.0,0.89,0.9418
265,7,2.5,0.88,0.9362
266,7,3.0,0.88,0.9362
267,7,3.5,0.9,0.9474
268,7,4.0,0.87,0.9305
269,7,4.5,0.89,0.9418
270,7,5.0,0.88,0.9362
271,7,5.5,0.87,0.9305
272,7,6.0,0.9,0.9474
273,7,6.5,0.9,0.9474
274,7,7.0,0.88,0.9362
275,7,7.5,0.88,0.9362
276,7,8.0,0.88,0.9362
277,7,8.5,0.89,0.9418
278,7,9.0,0.9,0.9474
279,7,9.5,0.89,0.9418
280,7,10.0,0.9,0.9474
281,7,10.5,0.88,0.9362
282,7,11.0,0.88,0.9362
283,7,11.5,0.89,0.9418
284,7,12.0,0.88,0.9362
285,7,12.5,0.89,0.9418
286,7,13.0,0.9,0.9474
287,7,13.5,0.89,0.9418
288,7,14.0,0.86,0.9247
289,7,14.5,0.89,0.9418
290,10,0.5,0.88,0.9362
291,10,1.0,0.87,0.9305
292,10,1.5,0.9,0.9474
293,10,2.0,0.87,0.9305
294,10,2.5,0.89,0.9418
295,10,3.0,0.9,0.9474
296,10,3.5,0.9,0.9474
297,10,4.0,0.88,0.9362
298,10,4.5,0.9,0.9474
299,10,5.0,0.9,0.9474
300,10,5.5,0.88,0.9362
301,10,6.0,0.89,0.9418
302,10,6.5,0.88,0.9362
303,10,7.0,0.9,0.9474
304,10,7.5,0.88,0.9362
305,10,8.0,0.9,0.9474
306,10,8.5,0.88,0.9362
307,10,9.0,0.9,0.9474
308,10,9.5,0.89,0.9418
309,10,10.0,0.91,0.9529
310,10,10.5,0.88,0.9362
311,10,11.0,0.89,0.9418
312,10,11.5,0.88,0.9362
313,10,12.0,0.9,0.9474
314,10,12.5,0.89,0.9418
315,10,13.0,0.9,0.9474
316,10,13.5,0.88,0.9362
317,10,14.0,0.87,0.9305
318,10,14.5,0.88,0.9362
319,13,0.5,0.9,0.9474
320,13,1.0,0.9,0.9474
321,13,1.5,0.88,0.9362
322,13,2.0,0.89,0.9418
323,13,2.5,0.89,0.9418
324,13,3.0,0.89,0.9418
325,13,3.5,0.87,0.9305
326,13,4.0,0.89,0.9418
327,13,4.5,0.89,0.9418
328,13,5.0,0.89,0.9418
329,13,5.5,0.88,0.9362
330,13,6.0,0.89,0.9418
331,13,6.5,0.88,0.9362
332,13,7.0,0.89,0.9418
333,13,7.5,0.88,0.9362
334,13,8.0,0.89,0.9418
335,13,8.5,0.89,0.9418
336,13,9.0,0.86,0.9247
337,13,9.5,0.91,0.9529
338,13,10.0,0.89,0.9418
339,13,10.5,0.87,0.9305
340,13,11.0,0.9,0.9474
341,13,11.5,0.9,0.9474
342,13,12.0,0.88,0.9362
343,13,12.5,0.88,0.9362
344,13,13.0,0.9,0.9474
345,13,13.5,0.89,0.9418
346,13,14.0,0.88,0.9362
347,13,14.5,0.88,0.9362
348,16,0.5,0.88,0.9362
349,16,1.0,0.89,0.9418
350,16,1.5,0.89,0.9418
351,16,2.0,0.88,0.9362
352,16,2.5,0.89,0.9418
353,16,3.0,0.9,0.9474
354,16,3.5,0.9,0.9474
355,16,4.0,0.9,0.9474
356,16,4.5,0.89,0.9418
357,16,5.0,0.89,0.9418
358,16,5.5,0.88,0.9362
359,16,6.0,0.9,0.9474
360,16,6.5,0.89,0.9418
361,16,7.0,0.9,0.9474
362,16,7.5,0.88,0.9362
363,16,8.0,0.89,0.9418
364,16,8.5,0.87,0.9305
365,16,9.0,0.89,0.9418
366,16,9.5,0.89,0.9418
367,16,10.0,0.89,0.9418
368,16,10.5,0.88,0.9362
369,16,11.0,0.89,0.9418
370,16,11.5,0.91,0.9529
371,16,12.0,0.88,0.9362
372,16,12.5,0.89,0.9418
373,16,13.0,0.9,0.9474
374,16,13.5,0.88,0.9362
375,16,14.0,0.87,0.9305
376,16,14.5,0.9,0.9474
377,19,0.5,0.88,0.9362
378,19,1.0,0.9,0.9474
379,19,1.5,0.89,0.9418
380,19,2.0,0.9,0.9474
381,19,2.5,0.88,0.9362
382,19,3.0,0.88,0.9362
383,19,3.5,0.89,0.9418
384,19,4.0,0.91,0.9529
385,19,4.5,0.89,0.9418
386,19,5.0,0.87,0.9305
387,19,5.5,0.9,0.9474
388,19,6.0,0.91,0.9529
389,19,6.5,0.9,0.9474
390,19,7.0,0.9,0.9474
391,19,7.5,0.9,0.9474
392,19,8.0,0.9,0.9474
393,19,8.5,0.89,0.9418
394,19,9.0,0.89,0.9418
395,19,9.5,0.89,0.9418
396,19,10.0,0.89,0.9418
397,19,10.5,0.89,0.9418
398,19,11.0,0.88,0.9362
399,19,11.5,0.9,0.9474
400,19,12.0,0.9,0.9474
401,19,12.5,0.9,0.9474
402,19,13.0,0.9,0.9474
403,19,13.5,0.89,0.9418
404,19,14.0,0.88,0.9362
405,19,14.5,0.9,0.9474
406,1,0.5,0.88,0.9362
407,1,1.0,0.87,0.9305
408,1,1.5,0.88,0.9362
409,1,2.0,0.88,0.9362
410,1,2.5,0.86,0.9247
411,1,3.0,0.89,0.9418
412,1,3.5,0.87,0.9305
413,1,4.0,0.88,0.9362
414,1,4.5,0.85,0.9189
415,1,5.0,0.86,0.9247
416,1,5.5,0.87,0.9305
417,1,6.0,0.87,0.9305
418,1,6.5,0.88,0.9362
419,1,7.0,0.86,0.9247
420,1,7.5,0.89,0.9418
421,1,8.0,0.88,0.9362
422,1,8.5,0.86,0.9247
423,1,9.0,0.88,0.9362
424,1,9.5,0.9,0.9474
425,1,10.0,0.86,0.9247
426,1,10.5,0.88,0.9362
427,1,11.0,0.85,0.9189
428,1,11.5,0.87,0.9305
429,1,12.0,0.88,0.9362
430,1,12.5,0.88,0.9362
431,1,13.0,0.88,0.9362
432,1,13.5,0.86,0.9247
433,1,14.0,0.87,0.9305
434,1,14.5,0.89,0.9418
435,4,0.5,0.87,0.9305
436,4,1.0,0.87,0.9305
437,4,1.5,0.85,0.9189
438,4,2.0,0.88,0.9362
439,4,2.5,0.88,0.9362
440,4,3.0,0.89,0.9418
441,4,3.5,0.88,0.9362
442,4,4.0,0.86,0.9247
443,4,4.5,0.88,0.9362
444,4,5.0,0.87,0.9305
445,4,5.5,0.88,0.9362
446,4,6.0,0.87,0.9305
447,4,6.5,0.88,0.9362
448,4,7.0,0.87,0.9305
449,4,7.5,0.89,0.9418
450,4,8.0,0.87,0.9305
451,4,8.5,0.88,0.9362
452,4,9.0,0.89,0.9418
453,4,9.5,0.87,0.9305
454,4,10.0,0.85,0.9189
455,4,10.5,0.87,0.9305
456,4,11.0,0.87,0.9305
457,4,11.5,0.86,0.9247
458,4,12.0,0.86,0.9247
459,4,12.5,0.86,0.9247
460,4,13.0,0.88,0.9362
461,4,13.5,0.87,0.9305
462,4,14.0,0.87,0.9305
463,4,14.5,0.87,0.9305
464,7,0.5,0.87,0.9305
465,7,1.0,0.87,0.9305
466,7,1.5,0.87,0.9305
467,7,2.0,0.86,0.9247
468,7,2.5,0.87,0.9305
469,7,3.0,0.87,0.9305
470,7,3.5,0.87,0.9305
471,7,4.0,0.84,0.913
472,7,4.5,0.86,0.9247
473,7,5.0,0.87,0.9305
474,7,5.5,0.88,0.9362
475,7,6.0,0.88,0.9362
476,7,6.5,0.87,0.9305
477,7,7.0,0.88,0.9362
478,7,7.5,0.87,0.9305
479,7,8.0,0.88,0.9362
480,7,8.5,0.89,0.9418
481,7,9.0,0.86,0.9247
482,7,9.5,0.87,0.9305
483,7,10.0,0.88,0.9362
484,7,10.5,0.87,0.9305
485,7,11.0,0.87,0.9305
486,7,11.5,0.89,0.9418
487,7,12.0,0.87,0.9305
488,7,12.5,0.85,0.9189
489,7,13.0,0.89,0.9418
490,7,13.5,0.87,0.9305
491,7,14.0,0.88,0.9362
492,7,14.5,0.88,0.9362
493,10,0.5,0.88,0.9362
494,10,1.0,0.87,0.9305
495,10,1.5,0.86,0.9247
496,10,2.0,0.86,0.9247
497,10,2.5,0.88,0.9362
498,10,3.0,0.86,0.9247
499,10,3.5,0.88,0.9362
500,10,4.0,0.88,0.9362
501,10,4.5,0.87,0.9305
502,10,5.0,0.88,0.9362
503,10,5.5,0.88,0.9362
504,10,6.0,0.87,0.9305
505,10,6.5,0.86,0.9247
506,10,7.0,0.89,0.9418
507,10,7.5,0.87,0.9305
508,10,8.0,0.88,0.9362
509,10,8.5,0.87,0.9305
510,10,9.0,0.89,0.9418
511,10,9.5,0.88,0.9362
512,10,10.0,0.86,0.9247
513,10,10.5,0.88,0.9362
514,10,11.0,0.89,0.9418
515,10,11.5,0.88,0.9362
516,10,12.0,0.87,0.9305
517,10,12.5,0.88,0.9362
518,10,13.0,0.88,0.9362
519,10,13.5,0.87,0.9305
520,10,14.0,0.88,0.9362
521,10,14.5,0.86,0.9247
522,13,0.5,0.87,0.9305
523,13,1.0,0.87,0.9305
524,13,1.5,0.88,0.9362
525,13,2.0,0.88,0.9362
526,13,2.5,0.89,0.9418
527,13,3.0,0.89,0.9418
528,13,3.5,0.89,0.9418
529,13,4.0,0.85,0.9189
530,13,4.5,0.86,0.9247
531,13,5.0,0.89,0.9418
532,13,5.5,0.87,0.9305
533,13,6.0,0.89,0.9418
534,13,6.5,0.87,0.9305
535,13,7.0,0.88,0.9362
536,13,7.5,0.87,0.9305
537,13,8.0,0.87,0.9305
538,13,8.5,0.9,0.9474
539,13,9.0,0.87,0.9305
540,13,9.5,0.87,0.9305
541,13,10.0,0.85,0.9189
542,13,10.5,0.88,0.9362
543,13,11.0,0.88,0.9362
544,13,11.5,0.86,0.9247
545,13,12.0,0.86,0.9247
546,13,12.5,0.87,0.9305
547,13,13.0,0.85,0.9189
548,13,13.5,0.88,0.9362
549,13,14.0,0.87,0.9305
550,13,14.5,0.89,0.9418
551,16,0.5,0.89,0.9418
552,16,1.0,0.88,0.9362
553,16,1.5,0.87,0.9305
554,16,2.0,0.86,0.9247
555,16,2.5,0.89,0.9418
556,16,3.0,0.88,0.9362
557,16,3.5,0.85,0.9189
558,16,4.0,0.89,0.9418
559,16,4.5,0.88,0.9362
560,16,5.0,0.88,0.9362
561,16,5.5,0.86,0.9247
562,16,6.0,0.86,0.9247
563,16,6.5,0.88,0.9362
564,16,7.0,0.88,0.9362
565,16,7.5,0.87,0.9305
566,16,8.0,0.87,0.9305
567,16,8.5,0.87,0.9305
568,16,9.0,0.89,0.9418
569,16,9.5,0.88,0.9362
570,16,10.0,0.86,0.9247
571,16,10.5,0.86,0.9247
572,16,11.0,0.87,0.9305
573,16,11.5,0.87,0.9305
574,16,12.0,0.89,0.9418
575,16,12.5,0.86,0.9247
576,16,13.0,0.86,0.9247
577,16,13.5,0.88,0.9362
578,16,14.0,0.87,0.9305
579,16,14.5,0.87,0.9305
580,19,0.5,0.87,0.9305
581,19,1.0,0.89,0.9418
582,19,1.5,0.89,0.9418
583,19,2.0,0.87,0.9305
584,19,2.5,0.9,0.9474
585,19,3.0,0.86,0.9247
586,19,3.5,0.87,0.9305
587,19,4.0,0.88,0.9362
588,19,4.5,0.87,0.9305
589,19,5.0,0.86,0.9247
590,19,5.5,0.87,0.9305
591,19,6.0,0.87,0.9305
592,19,6.5,0.9,0.9474
593,19,7.0,0.88,0.9362
594,19,7.5,0.86,0.9247
595,19,8.0,0.87,0.9305
596,19,8.5,0.88,0.9362
597,19,9.0,0.88,0.9362
598,19,9.5,0.88,0.9362
599,19,10.0,0.86,0.9247
600,19,10.5,0.87,0.9305
601,19,11.0,0.89,0.9418
602,19,11.5,0.9,0.9474
603,19,12.0,0.88,0.9362
604,19,12.5,0.86,0.9247
605,19,13.0,0.87,0.9305
606,19,13.5,0.87,0.9305
607,19,14.0,0.88,0.9362
608,19,14.5,0.86,0.9247
609,1,0.5,0.88,0.9362
610,1,1.0,0.89,0.9418
611,1,1.5,0.88,0.9362
612,1,2.0,0.86,0.9247
613,1,2.5,0.85,0.9189
614,1,3.0,0.85,0.9189
615,1,3.5,0.86,0.9247
616,1,4.0,0.87,0.9305
617,1,4.5,0.88,0.9362
618,1,5.0,0.85,0.9189
619,1,5.5,0.85,0.9189
620,1,6.0,0.89,0.9418
621,1,6.5,0.89,0.9418
622,1,7.0,0.85,0.9189
623,1,7.5,0.88,0.9362
624,1,8.0,0.86,0.9247
625,1,8.5,0.88,0.9362
626,1,9.0,0.87,0.9305
627,1,9.5,0.87,0.9305
628,1,10.0,0.86,0.9247
629,1,10.5,0.87,0.9305
630,1,11.0,0.87,0.9305
631,1,11.5,0.85,0.9189
632,1,12.0,0.88,0.9362
633,1,12.5,0.85,0.9189
634,1,13.0,0.86,0.9247
635,1,13.5,0.87,0.9305
636,1,14.0,0.86,0.9247
637,1,14.5,0.84,0.913
638,4,0.5,0.87,0.9305
639,4,1.0,0.87,0.9305
640,4,1.5,0.88,0.9362
641,4,2.0,0.88,0.9362
642,4,2.5,0.84,0.913
643,4,3.0,0.87,0.9305
644,4,3.5,0.87,0.9305
645,4,4.0,0.89,0.9418
646,4,4.5,0.88,0.9362
647,4,5.0,0.88,0.9362
648,4,5.5,0.89,0.9418
649,4,6.0,0.86,0.9247
650,4,6.5,0.86,0.9247
651,4,7.0,0.86,0.9247
652,4,7.5,0.85,0.9189
653,4,8.0,0.85,0.9189
654,4,8.5,0.88,0.9362
655,4,9.0,0.86,0.9247
656,4,9.5,0.88,0.9362
657,4,10.0,0.88,0.9362
658,4,10.5,0.86,0.9247
659,4,11.0,0.89,0.9418
660,4,11.5,0.87,0.9305
661,4,12.0,0.86,0.9247
662,4,12.5,0.86,0.9247
663,4,13.0,0.89,0.9418
664,4,13.5,0.89,0.9418
665,4,14.0,0.88,0.9362
666,4,14.5,0.86,0.9247
667,7,0.5,0.89,0.9418
668,7,1.0,0.86,0.9247
669,7,1.5,0.89,0.9418
670,7,2.0,0.89,0.9418
671,7,2.5,0.86,0.9247
672,7,3.0,0.88,0.9362
673,7,3.5,0.86,0.9247
674,7,4.0,0.87,0.9305
675,7,4.5,0.88,0.9362
676,7,5.0,0.86,0.9247
677,7,5.5,0.88,0.9362
678,7,6.0,0.89,0.9418
679,7,6.5,0.87,0.9305
680,7,7.0,0.85,0.9189
681,7,7.5,0.88,0.9362
682,7,8.0,0.88,0.9362
683,7,8.5,0.87,0.9305
684,7,9.0,0.88,0.9362
685,7,9.5,0.89,0.9418
686,7,10.0,0.88,0.9362
687,7,10.5,0.87,0.9305
688,7,11.0,0.88,0.9362
689,7,11.5,0.87,0.9305
690,7,12.0,0.88,0.9362
691,7,12.5,0.85,0.9189
692,7,13.0,0.87,0.9305
693,7,13.5,0.87,0.9305
694,7,14.0,0.87,0.9305
695,7,14.5,0.86,0.9247
696,10,0.5,0.88,0.9362
697,10,1.0,0.88,0.9362
698,10,1.5,0.87,0.9305
699,10,2.0,0.84,0.913
700,10,2.5,0.87,0.9305
701,10,3.0,0.86,0.9247
702,10,3.5,0.87,0.9305
703,10,4.0,0.89,0.9418
704,10,4.5,0.87,0.9305
705,10,5.0,0.89,0.9418
706,10,5.5,0.87,0.9305
707,10,6.0,0.86,0.9247
708,10,6.5,0.88,0.9362
709,10,7.0,0.86,0.9247
710,10,7.5,0.87,0.9305
711,10,8.0,0.88,0.9362
712,10,8.5,0.89,0.9418
713,10,9.0,0.88,0.9362
714,10,9.5,0.87,0.9305
715,10,10.0,0.87,0.9305
716,10,10.5,0.86,0.9247
717,10,11.0,0.87,0.9305
718,10,11.5,0.87,0.9305
719,10,12.0,0.86,0.9247
720,10,12.5,0.86,0.9247
721,10,13.0,0.86,0.9247
722,10,13.5,0.88,0.9362
723,10,14.0,0.86,0.9247
724,10,14.5,0.87,0.9305
725,13,0.5,0.88,0.9362
726,13,1.0,0.87,0.9305
727,13,1.5,0.86,0.9247
728,13,2.0,0.87,0.9305
729,13,2.5,0.87,0.9305
730,13,3.0,0.88,0.9362
731,13,3.5,0.88,0.9362
732,13,4.0,0.85,0.9189
733,13,4.5,0.86,0.9247
734,13,5.0,0.86,0.9247
735,13,5.5,0.88,0.9362
736,13,6.0,0.87,0.9305
737,13,6.5,0.88,0.9362
738,13,7.0,0.87,0.9305
739,13,7.5,0.87,0.9305
740,13,8.0,0.88,0.9362
741,13,8.5,0.9,0.9474
742,13,9.0,0.88,0.9362
743,13,9.5,0.88,0.9362
744,13,10.0,0.87,0.9305
745,13,10.5,0.87,0.9305
746,13,11.0,0.86,0.9247
747,13,11.5,0.88,0.9362
748,13,12.0,0.88,0.9362
749,13,12.5,0.87,0.9305
750,13,13.0,0.87,0.9305
751,13,13.5,0.86,0.9247
752,13,14.0,0.86,0.9247
753,13,14.5,0.88,0.9362
754,16,0.5,0.88,0.9362
755,16,1.0,0.87,0.9305
756,16,1.5,0.84,0.913
757,16,2.0,0.86,0.9247
758,16,2.5,0.86,0.9247
759,16,3.0,0.85,0.9189
760,16,3.5,0.87,0.9305
761,16,4.0,0.89,0.9418
762,16,4.5,0.86,0.9247
763,16,5.0,0.84,0.913
764,16,5.5,0.86,0.9247
765,16,6.0,0.86,0.9247
766,16,6.5,0.87,0.9305
767,16,7.0,0.86,0.9247
768,16,7.5,0.85,0.9189
769,16,8.0,0.88,0.9362
770,16,8.5,0.88,0.9362
771,16,9.0,0.86,0.9247
772,16,9.5,0.89,0.9418
773,16,10.0,0.86,0.9247
774,16,10.5,0.88,0.9362
775,16,11.0,0.87,0.9305
776,16,11.5,0.87,0.9305
777,16,12.0,0.88,0.9362
778,16,12.5,0.88,0.9362
779,16,13.0,0.89,0.9418
780,16,13.5,0.87,0.9305
781,16,14.0,0.89,0.9418
782,16,14.5,0.88,0.9362
783,19,0.5,0.86,0.9247
784,19,1.0,0.85,0.9189
785,19,1.5,0.87,0.9305
786,19,2.0,0.88,0.9362
787,19,2.5,0.88,0.9362
788,19,3.0,0.86,0.9247
789,19,3.5,0.87,0.9305
790,19,4.0,0.85,0.9189
791,19,4.5,0.86,0.9247
792,19,5.0,0.87,0.9305
793,19,5.5,0.87,0.9305
794,19,6.0,0.86,0.9247
795,19,6.5,0.87,0.9305
796,19,7.0,0.87,0.9305
797,19,7.5,0.88,0.9362
798,19,8.0,0.86,0.9247
799,19,8.5,0.89,0.9418
800,19,9.0,0.85,0.9189
801,19,9.5,0.87,0.9305
802,19,10.0,0.86,0.9247
803,19,10.5,0.88,0.9362
804,19,11.0,0.88,0.9362
805,19,11.5,0.87,0.9305
806,19,12.0,0.86,0.9247
807,19,12.5,0.87,0.9305
808,19,13.0,0.88,0.9362
809,19,13.5,0.88,0.9362
810,19,14.0,0.84,0.913
811,19,14.5,0.87,0.9305
812,1,0.5,0.87,0.9305
813,1,1.0,0.88,0.9362
814,1,1.5,0.86,0.9247
815,1,2.0,0.89,0.9418
816,1,2.5,0.85,0.9189
817,1,3.0,0.89,0.9418
818,1,3.5,0.88,0.9362
819,1,4.0,0.89,0.9418
820,1,4.5,0.86,0.9247
821,1,5.0,0.87,0.9305
