,k,weight,acc,f1
0,1,0.5,0.86,0.9247
1,1,1.0,0.88,0.9362
2,1,1.5,0.87,0.9305
3,1,2.0,0.88,0.9362
4,1,2.5,0.87,0.9305
5,1,3.0,0.86,0.9247
6,1,3.5,0.86,0.9247
7,1,4.0,0.89,0.9418
8,1,4.5,0.88,0.9362
9,1,5.0,0.89,0.9418
10,1,5.5,0.88,0.9362
11,1,6.0,0.88,0.9362
12,1,6.5,0.88,0.9362
13,1,7.0,0.87,0.9305
14,1,7.5,0.88,0.9362
15,1,8.0,0.87,0.9305
16,1,8.5,0.87,0.9305
17,1,9.0,0.89,0.9418
18,1,9.5,0.89,0.9418
19,1,10.0,0.84,0.913
20,1,10.5,0.88,0.9362
21,1,11.0,0.89,0.9418
22,1,11.5,0.87,0.9305
23,1,12.0,0.89,0.9418
24,1,12.5,0.88,0.9362
25,1,13.0,0.88,0.9362
26,1,13.5,0.88,0.9362
27,1,14.0,0.87,0.9305
28,1,14.5,0.87,0.9305
29,4,0.5,0.88,0.9362
30,4,1.0,0.88,0.9362
31,4,1.5,0.88,0.9362
32,4,2.0,0.89,0.9418
33,4,2.5,0.86,0.9247
34,4,3.0,0.88,0.9362
35,4,3.5,0.88,0.9362
36,4,4.0,0.86,0.9247
37,4,4.5,0.88,0.9362
38,4,5.0,0.88,0.9362
39,4,5.5,0.87,0.9305
40,4,6.0,0.89,0.9418
41,4,6.5,0.89,0.9418
42,4,7.0,0.89,0.9418
43,4,7.5,0.87,0.9305
44,4,8.0,0.88,0.9362
45,4,8.5,0.88,0.9362
46,4,9.0,0.87,0.9305
47,4,9.5,0.89,0.9418
48,4,10.0,0.88,0.9362
49,4,10.5,0.88,0.9362
50,4,11.0,0.87,0.9305
51,4,11.5,0.89,0.9418
52,4,12.0,0.89,0.9418
53,4,12.5,0.88,0.9362
54,4,13.0,0.88,0.9362
55,4,13.5,0.89,0.9418
56,4,14.0,0.88,0.9362
57,4,14.5,0.89,0.9418
58,7,0.5,0.88,0.9362
59,7,1.0,0.88,0.9362
60,7,1.5,0.89,0.9418
61,7,2.0,0.88,0.9362
62,7,2.5,0.87,0.9305
63,7,3.0,0.88,0.9362
64,7,3.5,0.86,0.9247
65,7,4.0,0.88,0.9362
66,7,4.5,0.86,0.9247
67,7,5.0,0.88,0.9362
68,7,5.5,0.89,0.9418
69,7,6.0,0.88,0.9362
70,7,6.5,0.9,0.9474
71,7,7.0,0.87,0.9305
72,7,7.5,0.87,0.9305
73,7,8.0,0.9,0.9474
74,7,8.5,0.89,0.9418
75,7,9.0,0.88,0.9362
76,7,9.5,0.86,0.9247
77,7,10.0,0.86,0.9247
78,7,10.5,0.9,0.9474
79,7,11.0,0.88,0.9362
80,7,11.5,0.87,0.9305
81,7,12.0,0.87,0.9305
82,7,12.5,0.9,0.9474
83,7,13.0,0.87,0.9305
84,7,13.5,0.89,0.9418
85,7,14.0,0.87,0.9305
86,7,14.5,0.86,0.9247
87,10,0.5,0.86,0.9247
88,10,1.0,0.87,0.9305
89,10,1.5,0.88,0.9362
90,10,2.0,0.87,0.9305
91,10,2.5,0.87,0.9305
92,10,3.0,0.9,0.9474
93,10,3.5,0.87,0.9305
94,10,4.0,0.89,0.9418
95,10,4.5,0.87,0.9305
96,10,5.0,0.88,0.9362
97,10,5.5,0.86,0.9247
98,10,6.0,0.89,0.9418
99,10,6.5,0.88,0.9362
100,10,7.0,0.88,0.9362
101,10,7.5,0.87,0.9305
102,10,8.0,0.87,0.9305
103,10,8.5,0.88,0.9362
104,10,9.0,0.86,0.9247
105,10,9.5,0.88,0.9362
106,10,10.0,0.87,0.9305
107,10,10.5,0.88,0.9362
108,10,11.0,0.88,0.9362
109,10,11.5,0.87,0.9305
110,10,12.0,0.86,0.9247
111,10,12.5,0.85,0.9189
112,10,13.0,0.88,0.9362
113,10,13.5,0.88,0.9362
114,10,14.0,0.89,0.9418
115,10,14.5,0.89,0.9418
116,13,0.5,0.88,0.9362
117,13,1.0,0.88,0.9362
118,13,1.5,0.89,0.9418
119,13,2.0,0.89,0.9418
120,13,2.5,0.89,0.9418
121,13,3.0,0.86,0.9247
122,13,3.5,0.88,0.9362
123,13,4.0,0.88,0.9362
124,13,4.5,0.88,0.9362
125,13,5.0,0.88,0.9362
126,13,5.5,0.85,0.9189
127,13,6.0,0.87,0.9305
128,13,6.5,0.88,0.9362
129,13,7.0,0.88,0.9362
130,13,7.5,0.89,0.9418
131,13,8.0,0.88,0.9362
132,13,8.5,0.89,0.9418
133,13,9.0,0.87,0.9305
134,13,9.5,0.88,0.9362
135,13,10.0,0.87,0.9305
136,13,10.5,0.88,0.9362
137,13,11.0,0.9,0.9474
138,13,11.5,0.87,0.9305
139,13,12.0,0.9,0.9474
140,13,12.5,0.86,0.9247
141,13,13.0,0.9,0.9474
142,13,13.5,0.88,0.9362
143,13,14.0,0.86,0.9247
144,13,14.5,0.88,0.9362
145,16,0.5,0.88,0.9362
146,16,1.0,0.9,0.9474
147,16,1.5,0.86,0.9247
148,16,2.0,0.88,0.9362
149,16,2.5,0.87,0.9305
150,16,3.0,0.87,0.9305
151,16,3.5,0.88,0.9362
152,16,4.0,0.89,0.9418
153,16,4.5,0.87,0.9305
154,16,5.0,0.89,0.9418
155,16,5.5,0.88,0.9362
