num_neg,acc_AE,f1_AE,acc_GAE1,f1_GAE1,acc_GAE2,f1_GAE2,acc_GAE3,f1_GAE3,acc_GAE4,f1_GAE4
223,0.7892,0.8822,0.7937,0.885,0.8296,0.9069,0.8296,0.9069,0.7803,0.8766
224,0.7857,0.88,0.7902,0.8828,0.8304,0.9073,0.8304,0.9073,0.7812,0.8772
225,0.7867,0.8806,0.7911,0.8834,0.8311,0.9078,0.8311,0.9078,0.7778,0.875
226,0.7876,0.8812,0.792,0.884,0.8319,0.9082,0.8319,0.9082,0.7788,0.8756
227,0.7885,0.8818,0.7885,0.8818,0.8326,0.9087,0.8326,0.9087,0.7753,0.8734
228,0.7895,0.8824,0.7895,0.8824,0.8333,0.9091,0.8333,0.9091,0.7763,0.8741
229,0.7904,0.8829,0.7904,0.8829,0.8341,0.9095,0.8341,0.9095,0.7773,0.8747
230,0.7913,0.8835,0.787,0.8808,0.8348,0.91,0.8348,0.91,0.7783,0.8753
231,0.7922,0.8841,0.7835,0.8786,0.8355,0.9104,0.8355,0.9104,0.7749,0.8732
232,0.7888,0.8819,0.7802,0.8765,0.8362,0.9108,0.8362,0.9108,0.7759,0.8738
233,0.7854,0.8798,0.7768,0.8744,0.8369,0.9112,0.8369,0.9112,0.7725,0.8717
234,0.7863,0.8804,0.7778,0.875,0.8376,0.9116,0.8376,0.9116,0.7735,0.8723
235,0.783,0.8783,0.7787,0.8756,0.8383,0.912,0.8383,0.912,0.7745,0.8729
236,0.7797,0.8762,0.7754,0.8735,0.839,0.9124,0.839,0.9124,0.7712,0.8708
237,0.7806,0.8768,0.7764,0.8741,0.8397,0.9128,0.8397,0.9128,0.7679,0.8687
238,0.7773,0.8747,0.7773,0.8747,0.8403,0.9132,0.8403,0.9132,0.7689,0.8694
239,0.7741,0.8726,0.7782,0.8753,0.841,0.9136,0.841,0.9136,0.7699,0.87
240,0.7708,0.8706,0.775,0.8732,0.8417,0.914,0.8417,0.914,0.7708,0.8706
241,0.7676,0.8685,0.7759,0.8738,0.8423,0.9144,0.8423,0.9144,0.7676,0.8685
242,0.7686,0.8692,0.7769,0.8744,0.843,0.9148,0.843,0.9148,0.7686,0.8692
243,0.7695,0.8698,0.7778,0.875,0.8436,0.9152,0.8436,0.9152,0.7695,0.8698
244,0.7664,0.8677,0.7787,0.8756,0.8443,0.9156,0.8443,0.9156,0.7705,0.8704
