,k,weight,acc,f1
187,19,1.6,0.77,0.8701
188,19,1.8,0.77,0.8701
189,1,0.2,0.78,0.8764
190,1,0.4,0.78,0.8764
191,1,0.6,0.78,0.8764
192,1,0.8,0.78,0.8764
193,1,1.0,0.78,0.8764
194,1,1.2,0.78,0.8764
195,1,1.4,0.78,0.8764
196,1,1.6,0.78,0.8764
197,1,1.8,0.78,0.8764
198,4,0.2,0.78,0.8764
199,4,0.4,0.78,0.8764
200,4,0.6,0.78,0.8764
201,4,0.8,0.78,0.8764
202,4,1.0,0.78,0.8764
203,4,1.2,0.78,0.8764
204,4,1.4,0.78,0.8764
205,4,1.6,0.78,0.8764
206,4,1.8,0.78,0.8764
207,7,0.2,0.78,0.8764
208,7,0.4,0.78,0.8764
209,7,0.6,0.78,0.8764
210,7,0.8,0.78,0.8764
211,7,1.0,0.78,0.8764
212,7,1.2,0.78,0.8764
213,7,1.4,0.78,0.8764
214,7,1.6,0.78,0.8764
215,7,1.8,0.78,0.8764
216,10,0.2,0.78,0.8764
217,10,0.4,0.78,0.8764
218,10,0.6,0.78,0.8764
219,10,0.8,0.78,0.8764
220,10,1.0,0.78,0.8764
221,10,1.2,0.78,0.8764
222,10,1.4,0.78,0.8764
223,10,1.6,0.78,0.8764
224,10,1.8,0.78,0.8764
225,13,0.2,0.78,0.8764
226,13,0.4,0.78,0.8764
227,13,0.6,0.78,0.8764
228,13,0.8,0.78,0.8764
229,13,1.0,0.78,0.8764
230,13,1.2,0.78,0.8764
231,13,1.4,0.78,0.8764
232,13,1.6,0.78,0.8764
233,13,1.8,0.78,0.8764
234,16,0.2,0.78,0.8764
235,16,0.4,0.78,0.8764
236,16,0.6,0.78,0.8764
237,16,0.8,0.78,0.8764
238,16,1.0,0.78,0.8764
239,16,1.2,0.78,0.8764
240,16,1.4,0.78,0.8764
241,16,1.6,0.78,0.8764
242,16,1.8,0.78,0.8764
243,19,0.2,0.78,0.8764
244,19,0.4,0.78,0.8764
245,19,0.6,0.78,0.8764
246,19,0.8,0.78,0.8764
247,19,1.0,0.78,0.8764
248,19,1.2,0.78,0.8764
249,19,1.4,0.78,0.8764
250,19,1.6,0.78,0.8764
251,19,1.8,0.78,0.8764
252,1,0.2,0.77,0.8701
253,1,0.4,0.77,0.8701
254,1,0.6,0.77,0.8701
255,1,0.8,0.77,0.8701
256,1,1.0,0.77,0.8701
257,1,1.2,0.77,0.8701
258,1,1.4,0.77,0.8701
259,1,1.6,0.77,0.8701
260,1,1.8,0.77,0.8701
261,4,0.2,0.77,0.8701
262,4,0.4,0.77,0.8701
263,4,0.6,0.77,0.8701
264,4,0.8,0.77,0.8701
265,4,1.0,0.77,0.8701
266,4,1.2,0.77,0.8701
267,4,1.4,0.77,0.8701
268,4,1.6,0.77,0.8701
269,4,1.8,0.77,0.8701
270,7,0.2,0.77,0.8701
271,7,0.4,0.77,0.8701
272,7,0.6,0.77,0.8701
273,7,0.8,0.77,0.8701
274,7,1.0,0.77,0.8701
275,7,1.2,0.77,0.8701
276,7,1.4,0.77,0.8701
277,7,1.6,0.77,0.8701
278,7,1.8,0.77,0.8701
279,10,0.2,0.77,0.8701
280,10,0.4,0.77,0.8701
281,10,0.6,0.77,0.8701
282,10,0.8,0.77,0.8701
283,10,1.0,0.77,0.8701
284,10,1.2,0.77,0.8701
285,10,1.4,0.77,0.8701
286,10,1.6,0.77,0.8701
287,10,1.8,0.77,0.8701
288,13,0.2,0.77,0.8701
289,13,0.4,0.77,0.8701
290,13,0.6,0.77,0.8701
291,13,0.8,0.77,0.8701
292,13,1.0,0.77,0.8701
293,13,1.2,0.77,0.8701
294,13,1.4,0.77,0.8701
295,13,1.6,0.77,0.8701
296,13,1.8,0.77,0.8701
297,16,0.2,0.77,0.8701
298,16,0.4,0.77,0.8701
299,16,0.6,0.77,0.8701
300,16,0.8,0.77,0.8701
301,16,1.0,0.77,0.8701
302,16,1.2,0.77,0.8701
303,16,1.4,0.77,0.8701
304,16,1.6,0.77,0.8701
305,16,1.8,0.77,0.8701
306,19,0.2,0.77,0.8701
307,19,0.4,0.77,0.8701
308,19,0.6,0.77,0.8701
309,19,0.8,0.77,0.8701
310,19,1.0,0.77,0.8701
311,19,1.2,0.77,0.8701
312,19,1.4,0.77,0.8701
313,19,1.6,0.77,0.8701
314,19,1.8,0.77,0.8701
