Algoritmo,Itera̤̣o,Rate,acc,f1,RN len,tempo de execṳ̣o
<Algoritmos.CCRNE.CCRNE object at 0x000001441D5FD110>,0,0.01,0.52,0.6842105263157895,50,0.018004179000854492
<Algoritmos.CCRNE.CCRNE object at 0x000001444C825D90>,1,0.01,0.52,0.6842105263157895,50,0.01600360870361328
<Algoritmos.CCRNE.CCRNE object at 0x00000144451F67D0>,2,0.01,0.58,0.7341772151898733,50,0.01400303840637207
<Algoritmos.CCRNE.CCRNE object at 0x00000144451F64D0>,3,0.01,0.48,0.6486486486486487,50,0.012002944946289062
<Algoritmos.CCRNE.CCRNE object at 0x00000144451F5810>,4,0.01,0.52,0.6842105263157895,50,0.01600360870361328
<Algoritmos.CCRNE.CCRNE object at 0x00000144451F4E10>,5,0.01,0.6,0.7499999999999999,50,0.014003276824951172
<Algoritmos.CCRNE.CCRNE object at 0x00000144451F5610>,6,0.01,0.56,0.717948717948718,50,0.013003110885620117
<Algoritmos.CCRNE.CCRNE object at 0x00000144451F44D0>,7,0.01,0.58,0.7341772151898733,50,0.015003442764282227
<Algoritmos.CCRNE.CCRNE object at 0x00000144451F76D0>,8,0.01,0.52,0.6842105263157895,50,0.01500391960144043
<Algoritmos.CCRNE.CCRNE object at 0x00000144451F6050>,9,0.01,0.44,0.6111111111111112,50,0.01200246810913086
<Algoritmos.CCRNE.CCRNE object at 0x00000144451F4790>,0,0.02,0.7,0.8235294117647058,50,0.01000213623046875
<Algoritmos.CCRNE.CCRNE object at 0x00000144451F6A10>,1,0.02,0.54,0.7012987012987013,50,0.01600337028503418
<Algoritmos.CCRNE.CCRNE object at 0x00000144451F74D0>,2,0.02,0.64,0.7804878048780487,50,0.013003110885620117
<Algoritmos.CCRNE.CCRNE object at 0x00000144451F6150>,3,0.02,0.34,0.5074626865671642,50,0.011003494262695312
<Algoritmos.CCRNE.CCRNE object at 0x00000144451F5090>,4,0.02,0.28,0.43750000000000006,50,0.010002374649047852
<Algoritmos.CCRNE.CCRNE object at 0x00000144451F6550>,5,0.02,0.58,0.7341772151898733,50,0.01200246810913086
<Algoritmos.CCRNE.CCRNE object at 0x00000144451F5650>,6,0.02,0.3,0.4615384615384615,50,0.013002395629882812
<Algoritmos.CCRNE.CCRNE object at 0x0000014421B6DB10>,7,0.02,0.6,0.7499999999999999,50,0.013002872467041016
<Algoritmos.CCRNE.CCRNE object at 0x0000014421B6F490>,8,0.02,0.6,0.7499999999999999,50,0.01000213623046875
<Algoritmos.CCRNE.CCRNE object at 0x0000014421B6F510>,9,0.02,0.34,0.5074626865671642,50,0.013002872467041016
<Algoritmos.CCRNE.CCRNE object at 0x0000014421B6E3D0>,0,0.03,0.56,0.717948717948718,50,0.010002613067626953
<Algoritmos.CCRNE.CCRNE object at 0x0000014421B6D550>,1,0.03,0.34,0.5074626865671642,50,0.01000213623046875
<Algoritmos.CCRNE.CCRNE object at 0x0000014421B6C610>,2,0.03,0.56,0.717948717948718,50,0.011002540588378906
<Algoritmos.CCRNE.CCRNE object at 0x0000014421B6F0D0>,3,0.03,0.6,0.7499999999999999,50,0.014002799987792969
<Algoritmos.CCRNE.CCRNE object at 0x0000014421B6CA10>,4,0.03,0.9,0.9473684210526316,50,0.011002302169799805
<Algoritmos.CCRNE.CCRNE object at 0x0000014421B6CAD0>,5,0.03,0.58,0.7341772151898733,50,0.01000213623046875
<Algoritmos.CCRNE.CCRNE object at 0x0000014421B6CC90>,6,0.03,0.68,0.8095238095238095,50,0.010001897811889648
<Algoritmos.CCRNE.CCRNE object at 0x0000014421B6FAD0>,7,0.03,0.64,0.7804878048780487,50,0.011002063751220703
<Algoritmos.CCRNE.CCRNE object at 0x0000014421B6D450>,8,0.03,0.54,0.7012987012987013,50,0.011002302169799805
<Algoritmos.CCRNE.CCRNE object at 0x0000014421B6ED10>,9,0.03,0.52,0.6842105263157895,50,0.01200246810913086
<Algoritmos.CCRNE.CCRNE object at 0x0000014421B6C0D0>,0,0.04,0.58,0.7341772151898733,50,0.01000213623046875
<Algoritmos.CCRNE.CCRNE object at 0x0000014421B6E310>,1,0.04,0.74,0.8505747126436781,50,0.013003110885620117
<Algoritmos.CCRNE.CCRNE object at 0x0000014421B6D6D0>,2,0.04,0.3,0.4615384615384615,50,0.011002063751220703
<Algoritmos.CCRNE.CCRNE object at 0x0000014421B6FB50>,3,0.04,0.58,0.7341772151898733,50,0.01400303840637207
<Algoritmos.CCRNE.CCRNE object at 0x0000014489F53450>,4,0.04,0.6,0.7499999999999999,50,0.01000213623046875
<Algoritmos.CCRNE.CCRNE object at 0x0000014489F50DD0>,5,0.04,0.84,0.9130434782608696,50,0.01000213623046875
<Algoritmos.CCRNE.CCRNE object at 0x0000014489F53B10>,6,0.04,0.56,0.717948717948718,50,0.010002613067626953
<Algoritmos.CCRNE.CCRNE object at 0x0000014489F50550>,7,0.04,0.38,0.5507246376811594,50,0.01200246810913086
<Algoritmos.CCRNE.CCRNE object at 0x0000014489F50510>,8,0.04,0.6,0.7499999999999999,50,0.010002374649047852
<Algoritmos.CCRNE.CCRNE object at 0x0000014489F53C10>,9,0.04,0.56,0.717948717948718,50,0.01000213623046875
<Algoritmos.CCRNE.CCRNE object at 0x0000014489F50AD0>,0,0.05,0.68,0.8095238095238095,50,0.010002374649047852
