Algoritmo,Itera̤̣o,Rate,acc,f1,RN len,tempo de execṳ̣o
<Algoritmos.MCLS.MCLS object at 0x000001442002ED90>,0,0.01,0.62,0.7654320987654321,50,0.06201434135437012
<Algoritmos.MCLS.MCLS object at 0x0000014489F51110>,1,0.01,0.54,0.7012987012987013,50,0.06801509857177734
<Algoritmos.MCLS.MCLS object at 0x0000014489F504D0>,2,0.01,0.64,0.7804878048780487,50,0.06101393699645996
<Algoritmos.MCLS.MCLS object at 0x0000014489F59A90>,3,0.01,0.42,0.5915492957746479,50,0.0690155029296875
<Algoritmos.MCLS.MCLS object at 0x00000144A611EC10>,4,0.01,0.28,0.43750000000000006,50,0.07401657104492188
<Algoritmos.MCLS.MCLS object at 0x000001444C826C10>,5,0.01,0.76,0.8636363636363636,50,0.06301426887512207
<Algoritmos.MCLS.MCLS object at 0x0000014426E33BD0>,6,0.01,0.76,0.8636363636363636,50,0.07501745223999023
<Algoritmos.MCLS.MCLS object at 0x00000144A6051C90>,7,0.01,0.76,0.8636363636363636,50,0.06301355361938477
<Algoritmos.MCLS.MCLS object at 0x0000014421BB1050>,8,0.01,0.66,0.7951807228915663,50,0.06401443481445312
<Algoritmos.MCLS.MCLS object at 0x000001444C826890>,9,0.01,0.7,0.8235294117647058,50,0.06301426887512207
<Algoritmos.MCLS.MCLS object at 0x0000014421BB0D90>,0,0.02,0.3,0.4615384615384615,50,0.05401206016540527
<Algoritmos.MCLS.MCLS object at 0x000001444C7268D0>,1,0.02,0.38,0.5507246376811594,50,0.056012630462646484
<Algoritmos.MCLS.MCLS object at 0x000001444C852ED0>,2,0.02,0.62,0.7654320987654321,50,0.06701469421386719
<Algoritmos.MCLS.MCLS object at 0x0000014421B6DD90>,3,0.02,0.76,0.8636363636363636,50,0.06301403045654297
<Algoritmos.MCLS.MCLS object at 0x000001444C851E50>,4,0.02,0.42,0.5915492957746479,50,0.052011728286743164
<Algoritmos.MCLS.MCLS object at 0x000001442094B190>,5,0.02,0.88,0.9361702127659575,50,0.06601476669311523
<Algoritmos.MCLS.MCLS object at 0x0000014489F50550>,6,0.02,0.88,0.9361702127659575,50,0.06801509857177734
<Algoritmos.MCLS.MCLS object at 0x0000014489F50810>,7,0.02,0.92,0.9583333333333334,50,0.06601476669311523
<Algoritmos.MCLS.MCLS object at 0x0000014421B6DB50>,8,0.02,0.8,0.888888888888889,50,0.0600132942199707
<Algoritmos.MCLS.MCLS object at 0x000001444C827F10>,9,0.02,0.34,0.5074626865671642,50,0.05701279640197754
<Algoritmos.MCLS.MCLS object at 0x000001444C824C10>,0,0.03,0.72,0.8372093023255813,50,0.06601500511169434
<Algoritmos.MCLS.MCLS object at 0x000001444C825650>,1,0.03,0.68,0.8095238095238095,50,0.06801533699035645
