Algoritmo,Itera̤̣o,Rate,acc,f1,RN len,tempo de execṳ̣o
<Algoritmos.MCLS.MCLS object at 0x000001444C7715D0>,0,0.01,0.85,0.9189189189189189,200,0.6041364669799805
<Algoritmos.MCLS.MCLS object at 0x0000014421B9BE50>,1,0.01,0.81,0.8950276243093923,200,0.5171170234680176
<Algoritmos.MCLS.MCLS object at 0x000001444C771790>,2,0.01,0.835,0.9100817438692098,200,0.6781532764434814
<Algoritmos.MCLS.MCLS object at 0x000001444C770ED0>,3,0.01,0.67,0.8023952095808384,200,0.6451456546783447
<Algoritmos.MCLS.MCLS object at 0x0000014447D4A850>,4,0.01,0.865,0.9276139410187667,200,0.6011359691619873
<Algoritmos.MCLS.MCLS object at 0x0000014424389450>,5,0.01,0.795,0.8857938718662953,200,0.5871322154998779
<Algoritmos.MCLS.MCLS object at 0x000001442438BA90>,6,0.01,0.86,0.924731182795699,200,0.6321432590484619
<Algoritmos.MCLS.MCLS object at 0x000001444C770650>,7,0.01,0.515,0.6798679867986799,200,0.6241412162780762
<Algoritmos.MCLS.MCLS object at 0x00000144243890D0>,8,0.01,0.83,0.9071038251366119,200,0.611138105392456
<Algoritmos.MCLS.MCLS object at 0x000001442438A990>,9,0.01,0.33,0.49624060150375937,200,0.6681509017944336
<Algoritmos.MCLS.MCLS object at 0x0000014421BC1910>,0,0.02,0.79,0.8826815642458101,200,0.6541478633880615
<Algoritmos.MCLS.MCLS object at 0x000001441E113F90>,1,0.02,0.79,0.8826815642458101,200,0.6571488380432129
<Algoritmos.MCLS.MCLS object at 0x0000014489F52190>,2,0.02,0.775,0.8732394366197184,200,0.6421451568603516
<Algoritmos.MCLS.MCLS object at 0x000001448A07BE10>,3,0.02,0.865,0.9276139410187667,200,0.674152135848999
<Algoritmos.MCLS.MCLS object at 0x00000144451AA690>,4,0.02,0.695,0.8200589970501475,200,0.585132360458374
<Algoritmos.MCLS.MCLS object at 0x000001448A07AA50>,5,0.02,0.52,0.6842105263157895,200,0.5281188488006592
<Algoritmos.MCLS.MCLS object at 0x000001444C7712D0>,6,0.02,0.865,0.9276139410187667,200,0.7321650981903076
<Algoritmos.MCLS.MCLS object at 0x000001442437B350>,7,0.02,0.855,0.921832884097035,200,0.5781304836273193
<Algoritmos.MCLS.MCLS object at 0x00000144A5DBA810>,8,0.02,0.635,0.7767584097859327,200,0.6351432800292969
<Algoritmos.MCLS.MCLS object at 0x000001442438AC10>,9,0.02,0.865,0.9276139410187667,200,0.685154914855957
<Algoritmos.MCLS.MCLS object at 0x000001444539A7D0>,0,0.03,0.88,0.9361702127659575,200,0.5851325988769531
<Algoritmos.MCLS.MCLS object at 0x000001442438A790>,1,0.03,0.195,0.3263598326359833,200,0.5431230068206787
<Algoritmos.MCLS.MCLS object at 0x0000014421B98910>,2,0.03,0.775,0.8732394366197184,200,0.6481461524963379
<Algoritmos.MCLS.MCLS object at 0x0000014421B9A0D0>,3,0.03,0.865,0.9276139410187667,200,0.6511476039886475
<Algoritmos.MCLS.MCLS object at 0x000001442434F290>,4,0.03,0.785,0.8795518207282913,200,0.610137939453125
<Algoritmos.MCLS.MCLS object at 0x00000144A603CC10>,5,0.03,0.87,0.9304812834224598,200,0.6061367988586426
