Algoritmo,Itera̤̣o,Rate,acc,f1,RN len,tempo de execṳ̣o
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144209CC890>,0,0.01,0.9,0.9473684210526316,200,3.3657608032226562
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444538E410>,1,0.01,0.91,0.9528795811518325,200,1.209273338317871
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445256C10>,2,0.01,0.915,0.9556135770234987,200,1.1072502136230469
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444530B550>,3,0.01,0.905,0.9501312335958005,200,0.9272098541259766
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445342ED0>,4,0.01,0.885,0.9389920424403183,200,1.0402352809906006
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014421BEB810>,5,0.01,0.915,0.9556135770234987,200,0.8591940402984619
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144451A8A10>,6,0.01,0.925,0.961038961038961,200,1.0112287998199463
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444551CBD0>,7,0.01,0.885,0.9389920424403183,200,1.011228084564209
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445365D90>,8,0.01,0.895,0.9445910290237467,200,0.9612171649932861
<Algoritmos.LP_PUL.LP_PUL object at 0x000001442070A5D0>,9,0.01,0.925,0.961038961038961,200,0.9192075729370117
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445366F10>,0,0.02,0.925,0.961038961038961,200,2.204498291015625
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444538E810>,1,0.02,0.905,0.9501312335958005,200,2.0364599227905273
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445211990>,2,0.02,0.92,0.9583333333333334,200,2.0714683532714844
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445372050>,3,0.02,0.91,0.9528795811518325,200,2.1504859924316406
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144451DE310>,4,0.02,0.91,0.9528795811518325,200,2.2945187091827393
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445382F50>,5,0.02,0.925,0.961038961038961,200,2.1094765663146973
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445365910>,6,0.02,0.91,0.9528795811518325,200,1.9854485988616943
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144451A7410>,7,0.02,0.915,0.9556135770234987,200,2.1374826431274414
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445370290>,8,0.02,0.95,0.9743589743589743,200,2.0464625358581543
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445367010>,9,0.02,0.915,0.9556135770234987,200,2.080470323562622
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444538F850>,0,0.03,0.915,0.9556135770234987,200,3.1327078342437744
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445366390>,1,0.03,0.925,0.961038961038961,200,3.3437559604644775
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144453792D0>,2,0.03,0.925,0.961038961038961,200,3.2297306060791016
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144451DD010>,3,0.03,0.92,0.9583333333333334,200,3.190721273422241
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444522C990>,4,0.03,0.92,0.9583333333333334,200,3.3317525386810303
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444537AA90>,5,0.03,0.925,0.961038961038961,200,3.226729154586792
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144451DF390>,6,0.03,0.93,0.9637305699481865,200,3.3857650756835938
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445367B90>,7,0.03,0.91,0.9528795811518325,200,3.239732027053833
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144451AB7D0>,8,0.03,0.905,0.9501312335958005,200,3.141710042953491
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444538DB10>,9,0.03,0.91,0.9528795811518325,200,3.1437106132507324
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445366E90>,0,0.04,0.92,0.9583333333333334,200,4.183945178985596
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014421BEB790>,1,0.04,0.94,0.9690721649484536,200,4.147937059402466
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444538F310>,2,0.04,0.91,0.9528795811518325,200,4.1919474601745605
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144453660D0>,3,0.04,0.905,0.9501312335958005,200,4.090924263000488
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144451A8490>,4,0.04,0.915,0.9556135770234987,200,4.052915811538696
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445367B10>,5,0.04,0.915,0.9556135770234987,200,4.397994518280029
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144451A8E50>,6,0.04,0.91,0.9528795811518325,200,4.228956460952759
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445212E90>,7,0.04,0.925,0.961038961038961,200,4.235957384109497
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144451DD910>,8,0.04,0.92,0.9583333333333334,200,4.230956315994263
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445212810>,9,0.04,0.915,0.9556135770234987,200,4.154939413070679
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444517CFD0>,0,0.05,0.93,0.9637305699481865,200,5.24518609046936
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445365E10>,1,0.05,0.92,0.9583333333333334,200,5.208177328109741
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444538D7D0>,2,0.05,0.925,0.961038961038961,200,5.296196937561035
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445212410>,3,0.05,0.93,0.9637305699481865,200,5.319202423095703
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445382A10>,4,0.05,0.915,0.9556135770234987,200,5.3652122020721436
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445366F50>,5,0.05,0.915,0.9556135770234987,200,5.3732147216796875
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445381E10>,6,0.05,0.925,0.961038961038961,200,5.201175928115845
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445367390>,7,0.05,0.91,0.9528795811518325,200,5.395219802856445
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444522E750>,8,0.05,0.91,0.9528795811518325,200,5.246186017990112
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445211350>,9,0.05,0.94,0.9690721649484536,200,5.551254749298096
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144453706D0>,0,0.1,0.93,0.9637305699481865,200,10.394349575042725
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014421BE5290>,1,0.1,0.93,0.9637305699481865,200,10.690416097640991
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144451A6E10>,2,0.1,0.94,0.9690721649484536,200,10.500373125076294
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444517E810>,3,0.1,0.94,0.9690721649484536,200,10.451362133026123
<Algoritmos.LP_PUL.LP_PUL object at 0x000001444538D390>,4,0.1,0.93,0.9637305699481865,200,10.61639928817749
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144451A7B90>,5,0.1,0.92,0.9583333333333334,200,10.674412727355957
<Algoritmos.LP_PUL.LP_PUL object at 0x0000014445365AD0>,6,0.1,0.935,0.9664082687338501,200,10.367343425750732
<Algoritmos.LP_PUL.LP_PUL object at 0x00000144451A9450>,7,0.1,0.915,0.9556135770234987,200,10.598395586013794
